x_value,FL0_torque,FR0_torque,RL0_torque,RR0_torque,FL1_torque,FR1_torque,RL1_torque,RR1_torque,FL2_torque,FR2_torque,RL2_torque,RR2_torque,FL0_pos,FR0_pos,RL0_pos,RR0_pos,FL1_pos,FR1_pos,RL1_pos,RR1_pos,FL2_pos,FR2_pos,RL2_pos,RR2_pos
0.0,13,-7,6,-14,5,1,-4,-4,12,5,9,-11,1,-2,4,4,3,4,2,-3,3,4,1,-2
0.2,-7,-10,2,1,-12,-12,-7,4,-7,-6,-9,-12,0,-4,3,4,3,3,-4,-4,0,1,1,3
0.4,10,-3,-6,1,13,11,13,8,-4,-4,-5,-14,-4,-4,-1,4,4,-1,-1,0,0,-3,3,-1
0.6,10,-8,2,8,-3,13,8,4,-11,0,5,7,0,-4,1,-2,0,-4,2,-1,4,0,-4,-2
0.8,4,8,5,0,6,10,1,7,1,4,2,10,3,-3,-1,3,0,1,-2,-1,-3,1,-2,-1
1.0,5,9,-11,-10,-12,-9,-10,-4,-1,0,1,-1,-4,-2,3,1,2,3,4,-4,0,-4,4,-4
1.2,6,1,-2,8,5,5,-13,-11,-2,-12,-14,-14,-2,0,4,-2,-3,4,1,-1,4,3,3,-3
1.4,-12,-7,8,-7,-3,-8,10,13,11,8,-8,-3,2,1,4,-1,-1,1,-1,2,-4,-1,-1,-2
1.6,13,0,-14,-1,-5,-2,-12,1,13,8,9,4,2,-3,2,0,-3,2,4,-3,3,-4,3,-3
1.8,-10,2,-2,-3,14,11,-9,-11,7,-13,-10,0,2,0,3,-3,0,4,1,2,-1,2,-2,3
2.0,-6,6,-5,0,11,10,-1,-6,-4,12,-3,0,3,-2,3,0,-4,0,4,3,-2,0,2,3
2.2,-5,4,-6,2,-14,-1,1,11,-12,7,-14,-14,-2,-4,4,3,-3,2,1,-3,-2,1,3,4
2.4,-4,-1,-11,4,9,11,11,7,4,10,-9,11,0,4,1,0,1,2,0,3,-4,2,4,-1
2.6,-7,13,-12,4,-12,10,5,3,-10,4,-11,7,-2,-2,3,4,2,-1,-4,1,-1,3,-2,1
2.8,-13,-5,12,-6,-6,12,13,3,5,1,-14,14,4,3,4,-1,4,-2,4,-1,-1,-4,-3,0
3.0,-7,-4,-9,6,0,5,-7,4,-11,-2,3,-10,-4,-4,-3,-1,3,4,-4,1,3,2,3,-1
3.2,-2,8,-5,-4,4,4,-12,10,0,5,12,14,2,-4,4,1,2,0,-3,0,4,-2,1,4
3.4,-3,-1,-2,2,3,-14,8,-14,10,-1,6,1,1,3,-2,4,-3,-4,0,3,0,1,-3,4
3.6,7,0,12,10,6,-2,0,2,13,3,10,1,1,-1,-3,-4,3,1,-2,-2,-4,3,0,4
3.8,-13,14,-9,-6,-3,6,1,8,2,-10,1,-7,-2,1,3,-4,1,-3,-1,-4,-2,2,3,0
4.0,3,8,-10,-8,-4,4,12,6,-3,-1,-9,1,-2,0,2,-2,4,-4,-1,1,1,0,3,-1
4.2,13,-12,11,-13,3,-2,12,-4,5,5,9,11,2,3,0,2,0,-3,0,3,-4,3,4,4
4.4,-2,12,10,-8,10,-11,8,-7,-1,-11,12,0,3,-3,-4,2,-4,-4,-2,-3,-3,-1,0,-1
4.6,-5,3,-4,-13,12,4,-11,-3,-14,11,-4,13,1,4,4,2,1,1,-3,-1,1,-2,3,-3
4.8,-14,10,10,12,-3,14,9,14,10,6,6,2,-3,1,-1,4,-1,3,3,-3,2,-3,3,-1
5.0,2,-9,4,-8,-5,12,9,-4,9,3,10,-12,-2,0,2,0,4,-1,-2,1,4,2,1,-2
5.2,-1,-2,5,9,-9,13,-5,-10,2,2,1,-9,-2,2,-1,-3,4,1,4,4,4,4,-3,-2
5.4,12,-11,-8,-11,8,-3,-4,-5,7,-12,-14,-12,-4,0,0,4,-3,-2,2,-2,-4,-3,-3,3
5.6,11,11,-4,-12,-10,-2,5,-12,8,-3,-1,13,4,2,-3,-2,-4,1,2,4,3,3,4,2
5.8,-8,-11,11,-11,12,-3,-7,3,-9,-6,1,-9,-4,-1,-1,0,-1,2,3,-4,-2,2,-3,4
6.0,-8,3,-8,-5,-2,9,-4,-10,-3,-5,5,-2,-4,0,4,-2,2,-3,4,2,0,-1,0,-2
6.2,2,2,1,-14,5,-12,-14,2,-13,11,10,-4,1,-4,-1,-1,1,3,4,2,4,-2,0,2
6.4,1,6,1,-9,2,9,1,-11,3,9,-9,-3,-1,-3,-2,-2,-3,1,1,-1,0,-1,-2,2
6.6,3,-11,4,-9,6,-14,1,-5,13,-6,6,8,4,2,0,4,2,-3,0,-1,2,-3,-3,4
6.8,4,2,12,-13,-1,-4,6,-9,1,12,-6,-2,4,-2,-4,1,-2,-1,-2,-4,1,-4,2,1
7.0,6,-9,5,0,11,-5,-10,10,2,4,-12,-8,4,-2,-1,-1,-1,-4,-4,0,-1,0,-2,-4
7.2,13,6,-3,9,-10,11,-12,-11,-4,-3,8,-12,-3,1,-2,0,-2,1,0,3,2,-3,4,4
7.4,-14,-2,14,-4,-14,-9,-9,5,-5,-10,9,-13,0,-1,-1,-4,3,-4,-4,-4,1,-1,-3,3
7.6,14,2,0,-6,4,-9,-8,-13,-7,11,-4,11,2,3,-1,-2,1,3,2,0,-3,-3,2,2
7.8,-1,10,-13,2,-1,-9,8,-7,-9,6,-1,14,-2,-3,4,-3,0,-3,3,-4,2,0,2,1
8.0,12,14,-7,6,-9,-12,6,-12,3,-10,-13,-9,-2,1,-2,4,-3,2,4,-4,2,-1,2,4
8.2,7,5,-11,-10,0,8,6,9,-9,0,10,5,-1,-1,-1,2,-1,-1,0,1,-2,3,3,3
8.4,7,8,5,6,5,5,-12,10,-6,-2,-12,2,2,-3,0,-1,3,-1,-2,-4,2,-3,-4,4
8.6,10,-9,4,-3,13,-13,-13,5,-8,9,-13,-9,-2,-4,3,-1,-1,-3,-1,-1,2,4,-2,2
8.8,0,-9,-8,-13,4,-13,-10,5,-10,-12,12,-12,-3,2,-3,0,0,-2,0,-3,4,4,2,1
9.0,-6,-12,-13,8,-13,6,6,-7,-5,10,8,11,-1,1,4,2,-4,2,-3,-3,-4,2,3,-3
9.2,9,9,-12,9,-2,9,-11,-4,-1,-1,14,10,2,-2,4,1,0,4,-3,1,0,2,2,3
9.4,5,1,-1,14,2,3,-5,11,-12,-14,12,-13,0,1,-2,-1,4,1,2,4,1,1,-3,-4
9.6,-11,-1,13,-12,5,13,5,12,-2,-2,-10,7,-4,0,1,0,1,2,0,-1,-3,2,-4,-1
9.8,11,14,12,11,-7,4,1,1,-8,-14,-4,-12,3,-1,-1,-4,2,4,-3,3,-3,-3,-1,3
10.0,-1,-9,-14,7,-10,5,-11,-14,-8,-10,13,1,-1,-2,-1,-3,3,-3,1,-1,2,1,-1,1
10.2,-10,-13,1,-2,4,3,8,6,8,12,3,-3,3,2,1,-3,-1,-3,3,-3,-4,-2,-4,-1
10.4,12,-11,8,-14,-14,10,-3,14,-7,12,5,2,-2,-2,-2,3,0,-4,3,-2,2,4,1,-4
10.6,-11,-2,10,3,-1,3,4,4,-11,6,-14,11,4,1,4,0,3,4,3,-4,-4,0,1,-1
10.8,-11,2,3,-9,-12,-12,-14,-1,9,14,-6,5,-2,-4,3,-3,1,0,-4,0,-3,-4,-2,3
11.0,-11,-14,8,10,-8,4,7,10,5,1,-14,-6,0,-4,-2,-3,2,0,-1,-3,-4,3,-1,0
11.2,3,-13,11,2,11,-3,9,4,-10,7,-11,10,-2,1,-3,-1,-4,-4,4,4,-3,4,-4,0
11.4,14,11,4,-8,5,-3,-12,2,-8,8,-1,6,-2,3,-3,4,0,3,-1,-4,1,-1,3,4
11.6,6,3,-4,-5,-4,12,-14,-12,-12,-14,13,6,2,2,2,1,-3,1,-2,-3,-4,2,0,2
11.8,-3,2,-2,12,3,-3,-8,5,6,14,-11,14,2,1,0,0,4,-2,-1,4,2,-1,0,1
12.0,-13,0,-4,-11,9,12,-14,5,14,0,13,-3,4,4,-1,-1,-4,4,0,1,-4,-2,2,0
12.2,0,-12,4,-3,3,-7,-5,3,-10,-10,10,-9,-3,2,-1,-2,-1,0,4,3,4,-4,-4,1
12.4,-4,-4,13,-12,-12,-12,-12,-1,9,-12,-8,-7,-1,0,4,4,4,0,-3,2,-2,-1,-3,-4
12.6,-12,-6,7,5,6,-4,-2,7,4,4,3,11,-3,0,3,-3,2,4,-1,3,-1,4,3,3
12.8,-2,-3,-3,8,-11,-5,-8,13,10,6,-7,-13,0,-2,0,-2,1,-4,-4,-4,-1,3,2,2
13.0,9,13,-12,1,3,-9,-5,2,6,-10,1,1,0,3,4,-4,4,1,3,-3,3,-1,4,-2
13.2,14,4,-12,2,-10,4,-9,13,-13,5,4,10,0,2,-2,-3,-3,-2,4,-1,-1,4,0,4
13.4,-2,-9,14,-2,-3,-9,4,6,-12,9,11,13,3,-1,-2,4,-1,4,3,-4,-4,4,-2,-2
